Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;4.23;60.00;120.02;0.21;41.60;58.10;42.23;154.28;1;0;0;60.00;0.00;0.00;0;0;26.25;33.92;0;0;60.17;12.93;26.25;5.80;0.00;0.00;13.20
1;3.92;50.00;118.99;0.21;50.60;70.90;42.73;206.48;1;0;0;50.00;0.00;0.00;0;0;24.31;44.69;0;0;69.00;14.74;24.31;5.40;0.00;0.00;15.01
2;3.46;60.00;114.13;0.21;59.60;48.50;43.46;258.68;0;1;0;0.00;60.00;0.00;0;0;27.37;0.00;0;0;4.25;0.88;27.37;6.04;23.12;4.86;1.15
3;2.89;60.00;98.26;0.19;41.10;71.00;44.38;151.38;1;0;0;52.80;7.20;0.00;0;0;27.74;29.43;0;0;57.17;10.79;27.74;5.56;0.00;0.00;11.06
4;2.90;60.00;100.54;0.19;53.30;50.20;44.36;222.14;0;0;0;60.00;0.00;0.00;0;0;26.06;0.00;0;0;32.83;6.29;26.06;5.24;0.00;0.00;6.56
5;2.73;50.00;117.14;0.21;54.90;50.20;44.63;231.42;0;1;0;20.00;30.00;0.00;0;0;25.22;0.00;0;0;14.67;3.10;25.22;5.59;10.55;2.22;3.37
6;2.76;70.00;130.45;0.23;44.10;67.30;44.58;168.78;1;0;0;58.10;11.90;0.00;0;0;30.51;27.16;0;0;57.67;13.54;30.51;7.31;0.00;0.00;13.81
7;2.70;60.00;160.01;0.27;49.80;50.60;44.68;201.84;0;0;0;60.00;0.00;0.00;0;0;21.07;0.00;0;0;33.58;9.07;21.07;5.98;0.00;0.00;9.34
8;3.83;40.00;157.63;0.27;52.00;49.80;42.87;214.60;0;1;0;0.00;40.00;0.00;0;0;18.53;0.00;0;0;2.75;0.74;18.53;5.29;15.78;4.26;1.01
9;5.11;50.00;130.55;0.23;47.70;49.80;40.82;189.66;0;1;0;29.00;21.00;0.00;0;0;15.37;0.00;0;0;13.75;3.23;15.37;3.83;1.62;0.37;3.50
10;5.97;40.00;112.19;0.21;43.00;43.90;39.45;162.40;0;0;0;40.00;0.00;0.00;0;0;15.14;0.00;0;0;19.58;4.17;15.14;3.47;0.00;0.00;4.44
11;6.71;40.00;100.06;0.20;43.00;42.30;38.26;162.40;0;0;0;40.00;0.00;0.00;0;0;15.31;0.00;0;0;17.42;3.45;15.31;3.35;0.00;0.00;3.72
12;8.08;40.00;88.57;0.18;43.00;39.90;36.07;162.40;0;0;0;40.00;0.00;0.00;0;0;11.83;0.00;0;0;15.33;2.83;11.83;2.42;0.00;0.00;3.10
13;8.55;30.00;74.37;0.17;34.20;53.90;35.32;111.36;1;0;0;30.00;0.00;0.00;0;0;11.36;47.14;0;0;58.50;9.80;11.36;2.22;0.00;0.00;10.07
14;8.97;40.00;69.46;0.16;51.50;70.30;34.65;211.70;1;0;0;40.00;0.00;0.00;0;0;14.43;57.65;0;0;72.08;11.65;14.43;2.60;0.00;0.00;11.92
15;9.43;30.00;69.74;0.16;62.30;37.50;33.91;274.34;0;0;0;30.00;0.00;0.00;0;0;11.47;0.00;0;0;7.50;1.21;11.47;2.13;0.00;0.00;1.48
16;9.53;30.00;61.11;0.15;63.80;37.50;33.75;283.04;0;1;0;0.00;30.00;0.00;0;0;9.54;0.00;0;0;2.00;0.30;9.54;1.72;7.54;1.13;0.57
17;10.13;20.00;78.09;0.17;63.40;37.50;32.79;280.72;0;1;0;0.00;20.00;0.00;0;0;9.64;0.00;0;0;1.25;0.21;9.64;1.93;8.39;1.43;0.48
18;9.76;30.00;90.19;0.19;62.40;37.50;33.38;274.92;0;1;0;0.00;30.00;0.00;0;0;12.99;0.00;0;0;1.33;0.25;12.99;2.76;11.66;2.22;0.52
19;9.10;30.00;139.03;0.25;61.60;39.60;34.44;270.28;0;0;0;30.00;0.00;0.00;0;0;14.58;0.00;0;0;17.17;4.21;14.58;3.94;0.00;0.00;4.48
20;7.28;40.00;135.01;0.24;61.60;40.70;37.35;270.28;0;0;0;40.00;0.00;0.00;0;0;15.04;0.00;0;0;18.08;4.34;15.04;3.90;0.00;0.00;4.61
21;7.02;40.00;128.31;0.23;61.60;41.00;37.77;270.28;0;0;0;40.00;0.00;0.00;0;0;14.99;0.00;0;0;18.25;4.24;14.99;3.74;0.00;0.00;4.51
22;7.16;40.00;125.40;0.22;61.60;41.00;37.54;270.28;0;0;0;40.00;0.00;0.00;0;0;14.98;0.00;0;0;18.25;4.04;14.98;3.59;0.00;0.00;4.31
23;6.69;40.00;120.46;0.22;61.60;42.00;38.30;270.28;0;0;0;40.00;0.00;0.00;0;0;17.80;0.00;0;0;18.33;3.95;17.80;4.21;0.00;0.00;4.22
