Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;1.31;60.00;95.14;0.22;48.50;56.80;46.90;194.30;1;0;0;57.00;3.00;0.00;0;0;35.06;19.69;0;0;54.75;11.93;35.06;8.00;0.00;0.00;12.20
1;1.15;70.00;92.58;0.21;45.00;66.70;47.16;174.00;1;0;0;66.50;3.50;0.00;0;0;31.44;24.89;0;0;56.33;12.10;31.44;6.89;0.00;0.00;12.37
2;1.07;70.00;82.12;0.20;51.00;53.00;47.29;208.80;0;1;0;61.60;8.40;0.00;0;0;31.27;0.00;0;0;43.17;8.73;31.27;6.54;-11.90;-2.38;9.00
3;1.11;60.00;62.90;0.18;45.00;63.70;47.22;174.00;1;0;0;60.00;0.00;0.00;0;0;32.07;33.60;0;0;65.67;11.77;32.07;6.06;0.00;0.00;12.04
4;1.28;60.00;56.23;0.17;55.60;52.60;46.95;235.48;0;1;0;27.00;33.00;0.00;0;0;27.64;0.00;0;0;20.75;3.55;27.64;4.99;6.89;1.17;3.82
5;1.46;60.00;60.70;0.18;44.60;65.70;46.66;171.68;1;0;0;60.00;0.00;0.00;0;0;28.70;36.80;0;0;65.50;11.57;28.70;5.46;0.00;0.00;11.84
6;0.92;60.00;63.00;0.22;55.80;53.30;47.53;236.64;0;1;0;16.80;43.20;0.00;0;0;25.18;0.00;0;0;13.75;2.98;25.18;5.83;11.43;2.51;3.25
7;2.83;50.00;69.79;0.22;45.40;65.00;44.47;176.32;1;0;0;50.00;0.00;0.00;0;0;18.98;46.60;0;0;65.58;14.74;18.98;4.47;0.00;0.00;15.01
8;4.27;50.00;68.30;0.22;56.80;48.30;42.17;242.44;0;1;0;0.00;50.00;0.00;0;0;19.65;0.00;0;0;4.58;1.02;19.65;4.61;15.07;3.32;1.29
9;5.05;50.00;43.78;0.19;55.20;48.30;40.92;233.16;0;1;0;9.00;41.00;0.00;0;0;17.88;0.00;0;0;3.08;0.60;17.88;3.69;14.80;2.81;0.87
10;6.69;40.00;17.58;0.16;38.20;62.20;38.30;134.56;1;0;0;34.00;6.00;0.00;0;0;12.33;35.09;0;0;47.42;7.69;12.33;2.26;0.00;0.00;7.96
11;7.50;40.00;4.09;0.15;45.40;42.50;37.00;176.32;0;0;0;40.00;0.00;0.00;0;0;14.71;0.00;0;0;17.42;2.54;14.71;2.50;0.00;0.00;2.81
12;6.98;40.00;6.43;0.15;48.50;41.50;37.83;194.30;0;1;0;8.00;32.00;0.00;0;0;14.69;0.00;0;0;4.83;0.72;14.69;2.49;9.86;1.48;0.99
13;7.19;40.00;4.28;0.15;46.70;42.10;37.50;183.86;0;0;0;40.00;0.00;0.00;0;0;19.06;0.00;0;0;18.67;2.73;19.06;3.15;0.00;0.00;3.00
14;5.76;50.00;5.04;0.15;46.70;43.60;39.78;183.86;0;0;0;50.00;0.00;0.00;0;0;20.19;0.00;0;0;22.92;3.37;20.19;3.32;0.00;0.00;3.64
15;5.22;50.00;1.83;0.14;46.70;43.90;40.65;183.86;0;0;0;50.00;0.00;0.00;0;0;19.71;0.00;0;0;19.92;2.85;19.71;3.05;0.00;0.00;3.12
16;5.49;40.00;7.80;0.15;46.70;43.70;40.22;183.86;0;0;0;40.00;0.00;0.00;0;0;16.91;0.00;0;0;21.00;3.16;16.91;2.83;0.00;0.00;3.43
17;5.42;50.00;34.90;0.18;46.70;43.90;40.33;183.86;0;0;0;50.00;0.00;0.00;0;0;21.70;0.00;0;0;21.25;3.89;21.70;4.20;0.00;0.00;4.16
18;4.94;50.00;116.77;0.28;46.70;45.80;41.10;183.86;0;0;0;50.00;0.00;0.00;0;0;22.97;0.00;0;0;26.33;7.40;22.97;6.72;0.00;0.00;7.67
19;4.49;60.00;154.07;0.33;46.70;46.00;41.82;183.86;0;0;0;60.00;0.00;0.00;0;0;23.92;0.00;0;0;26.00;8.47;23.92;8.18;0.00;0.00;8.74
20;4.30;50.00;127.69;0.29;46.70;46.30;42.12;183.86;0;0;0;50.00;0.00;0.00;0;0;20.92;0.00;0;0;27.25;8.02;20.92;6.36;0.00;0.00;8.29
21;4.07;50.00;102.72;0.26;46.70;47.00;42.49;183.86;0;0;0;49.00;1.00;0.00;0;0;20.36;0.00;0;0;21.92;5.79;20.36;5.58;0.00;0.00;6.06
22;3.78;40.00;105.72;0.23;38.40;47.30;42.95;135.72;0;0;0;38.80;1.20;0.00;0;0;15.87;0.00;0;0;22.08;5.09;15.87;3.94;0.00;0.00;5.36
23;3.56;30.00;119.58;0.25;42.20;47.50;43.30;157.76;0;0;0;27.90;2.10;0.00;0;0;16.31;0.00;0;0;17.67;4.37;16.31;4.37;0.00;0.00;4.64
